belief state[non-destination destination-city],action[0-Moving/1-unloading],alpha-vector[non-destination destination-city],observation(0-non-destination/1-destination-city
[0.00303337 0.99696663],1,[-9.5   0.95],None
[0.1993193 0.8006807],0,[0.95 0.  ],0
[0.10333576 0.89666424],0,[0.95 0.  ],1
[0.00183922 0.99816078],1,[-9.5   0.95],None
[0.31439032 0.68560968],0,[0.95 0.  ],0
[0.1553607 0.8446393],0,[0.95 0.  ],1
[0.00277719 0.99722281],1,[-9.5   0.95],None
[0.88703899 0.11296101],0,[0.95 0.  ],0
[0.35549693 0.64450307],0,[0.95 0.  ],1
[0.00646268 0.99353732],1,[-9.5   0.95],None
[0.39361376 0.60638624],0,[0.95 0.  ],0
[0.18843487 0.81156513],0,[0.95 0.  ],1
[0.00337774 0.99662226],1,[-9.5   0.95],None
[0.15976179 0.84023821],0,[0.95 0.  ],1
[0.00285691 0.99714309],1,[-9.5   0.95],None
[0.21426913 0.78573087],0,[0.95 0.  ],1
[0.00384914 0.99615086],1,[-9.5   0.95],None
[0.69982407 0.30017593],0,[0.95 0.  ],1
[0.01310512 0.98689488],1,[-9.5   0.95],None
[0.59921033 0.40078967],0,[0.95 0.  ],0
[0.2653518 0.7346482],0,[0.95 0.  ],1
[0.00478729 0.99521271],1,[-9.5   0.95],None
[0.31554752 0.68445248],0,[0.95 0.  ],0
[0.15585914 0.84414086],0,[0.95 0.  ],1
[0.00278622 0.99721378],1,[-9.5   0.95],None
